timestamp,lat,long,alt
1569276010,0.850621109,-0.050047352,11224.26
1569276020,0.850927905,-0.050246475,11216.64
1569276030,0.851214728,-0.050433306,11216.64
1569276040,0.851512735,-0.050628741,11216.64
1569276050,0.851819206,-0.050829513,11216.64
1569276060,0.852119015,-0.051026307,11216.64
1569276070,0.85241315,-0.051217504,11224.26
1569276080,0.852713555,-0.051412939,11224.26
1569276090,0.853020879,-0.051612903,11216.64
1569276100,0.853315163,-0.051805039,11216.64
1569276110,0.853616434,-0.052002706,11224.26
1569276120,0.85392476,-0.052203284,11224.26
1569276130,0.854226763,-0.052401177,11224.26
1569276140,0.854515982,-0.052590466,11224.26
1569276150,0.854817985,-0.052787131,11201.4
1569276160,0.855128478,-0.052989197,11140.44
1569276170,0.855432349,-0.053187252,11094.72
1569276180,0.855731183,-0.053380811,11049
1569276190,0.856031587,-0.053576246,10988.04
1569276200,0.856338383,-0.053777826,10942.32
1569276210,0.856660359,-0.05398924,10888.98
1569276220,0.85695597,-0.054184676,10835.64
1569276230,0.857278745,-0.054397319,10782.3
1569276240,0.857575954,-0.054591525,10736.58
1569276250,0.857888343,-0.054794335,10675.62
1569276260,0.858206324,-0.05500329,10637.52
1569276270,0.858517115,-0.0552061,10576.56
1569276280,0.858828705,-0.055411369,10515.6
1569276290,0.859132427,-0.055610588,10469.88
1569276300,0.859443611,-0.055817474,10408.92
1569276310,0.859754795,-0.056024359,10355.58
1569276320,0.860065166,-0.056233768,10302.24
1569276330,0.860377162,-0.056443176,10256.52
1569276340,0.860683064,-0.056647895,10203.18
1569276350,0.860997904,-0.056855686,10142.22
1569276360,0.861319826,-0.057068264,10088.88
1569276370,0.861627584,-0.057270719,10035.54
1569276380,0.861941205,-0.057476343,9989.82
1569276390,0.862260188,-0.057686528,9936.48
1569276400,0.862550572,-0.05787876,9883.14
1569276410,0.862879373,-0.058090692,9829.8
1569276420,0.863198939,-0.05824722,9784.08
1569276430,0.863532114,-0.058345514,9723.12
1569276440,0.863870069,-0.058385882,9669.78
1569276450,0.864265549,-0.058383359,9624.06
1569276460,0.864644358,-0.05837937,9570.72
1569276470,0.864769685,-0.058380836,9509.76
1569276480,0.865209906,-0.058382098,9471.66
1569276490,0.865686878,-0.058385882,9403.08
1569276500,0.866102331,-0.058390928,9357.36
1569276510,0.866366024,-0.058393622,9334.5
1569276520,0.866712145,-0.058396213,9319.26
1569276530,0.867178514,-0.058395974,9319.26
1569276540,0.867430386,-0.058396213,9319.26
1569276550,0.867881589,-0.058399759,9319.26
1569276560,0.868203064,-0.058403986,9319.26
1569276570,0.868623121,-0.058409169,9311.64
1569276580,0.868928211,-0.058412374,9311.64
1569276590,0.869304516,-0.058414897,9311.64
1569276600,0.869654983,-0.058416942,9311.64
1569276610,0.870037666,-0.058419534,9311.64
1569276620,0.870405466,-0.058424989,9326.88
1569276630,0.870764194,-0.058428773,9349.74
1569276640,0.87109416,-0.058432558,9357.36
1569276650,0.871460336,-0.058436376,9349.74
1569276660,0.871847081,-0.058438967,9311.64
1569276670,0.871947017,-0.058440263,9250.68
1569276680,0.87254505,-0.058445173,9197.34
1569276690,0.872878943,-0.058449332,9128.76
1569276700,0.873265688,-0.058453219,9075.42
1569276710,0.873463935,-0.058454515,9006.84
1569276720,0.8738745,-0.058456526,8953.5
1569276730,0.874245551,-0.058458401,8884.92
1569276740,0.874683835,-0.058456526,8831.58
1569276750,0.875043361,-0.058454003,8763
1569276760,0.875361099,-0.058454515,8709.66
1569276770,0.875639377,-0.058456526,8663.94
1569276780,0.876071608,-0.058461572,8602.98
1569276790,0.876385649,-0.058466175,8549.64
1569276800,0.876697184,-0.058470403,8503.92
1569276810,0.877063265,-0.058475244,8442.96
1569276820,0.877390672,-0.058456526,8389.62
1569276830,0.877737415,-0.058368221,8298.18
1569276840,0.878065878,-0.058196692,8206.74
1569276850,0.87839495,-0.057946881,8115.3
1569276860,0.87869855,-0.057702151,8001
1569276870,0.879022991,-0.057442657,7894.32
1569276880,0.879339049,-0.057190017,7795.26
1569276890,0.879650098,-0.056941468,7680.96
1569276900,0.879970476,-0.056682861,7604.76
1569276910,0.880275038,-0.056435982,7482.84
1569276920,0.880581671,-0.056187092,7315.2
1569276930,0.880898854,-0.05593227,7147.56
1569276940,0.881231216,-0.055668617,6979.92
1569276950,0.881538012,-0.055422625,6797.04
1569276960,0.881865893,-0.055158529,6637.02
1569276970,0.882178769,-0.05490415,6477
1569276980,0.882507137,-0.054637974,6309.36
1569276990,0.882829113,-0.054379367,6126.48
